PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
C4a;butaan;106-97-8;FYSISCH-CHEMISCH;ChemischeStof;;6-7-2013;Gepubliceerd
13butDen;1,3-butadieen;106-99-0;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
acAh;acrylaldehyde;107-02-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
1C3atol;1-propaanthiol;107-03-9;FYSISCH-CHEMISCH;ChemischeStof;;16-10-2014;Gepubliceerd
3ClC3e;3-chloorpropeen;107-05-1;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
12DClC2a;1,2-dichloorethaan;107-06-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2ClC2ol;2-chloorethanol;107-07-3;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
3Ao1C3e;3-amino-1-propeen;107-11-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
aclntl;acrylonitril;107-13-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C2yeDAe;ethyleendiamine;107-15-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
glyfst;glyfosaat;1071-83-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
allachl;allylalcohol;107-18-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
propgachl;propargylalcohol;107-19-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
glycl;glycol (monoethyleenglycol);107-21-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
glyoxl;glyoxaal;107-22-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C2yHgBr;ethylkwikbromide;107-26-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2actprl;2-acetylpyrrol;1072-83-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
ClDC1yEtr;chloordimethylether;107-30-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yfmt;methylformaat;107-31-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
1C1y2C3yBen;1-methyl-2-propylbenzeen;1074-17-5;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
TEPP;tetraethylpyrofosfaat;107-49-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
tebcnzl;tebuconazol;107534-96-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
37DC1y17C8aD;3,7-dimethyl-1,7-octaandiol;107-74-4;FYSISCH-CHEMISCH;ChemischeStof;;21-1-2014;Gepubliceerd
C2y2C1yBensf;ethyl-2-methylbenzeensulfonamide;1077-56-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
2C1yC5a;2-methylpentaan;107-83-5;FYSISCH-CHEMISCH;ChemischeStof;;6-7-2013;Gepubliceerd
2C5on;2-pentanon;107-87-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
